TrainingFile,DBFile,DTWDistance
training_set\Sheli\0.wav,class_reprentative\Tamir\1.wav,16.484308346174657
training_set\Sheli\0.wav,class_reprentative\Tamir\2.wav,24.799781383015215
training_set\Sheli\0.wav,class_reprentative\Tamir\3.wav,22.29904359485954
training_set\Sheli\0.wav,class_reprentative\Tamir\4.wav,13.70686037838459
training_set\Sheli\0.wav,class_reprentative\Tamir\5.wav,14.608995818533003
training_set\Sheli\0.wav,class_reprentative\Tamir\6.wav,22.86980810482055
training_set\Sheli\0.wav,class_reprentative\Tamir\7.wav,17.931547440588474
training_set\Sheli\0.wav,class_reprentative\Tamir\8.wav,15.780488043092191
training_set\Sheli\0.wav,class_reprentative\Tamir\9.wav,18.52375823352486
training_set\Sheli\1.wav,class_reprentative\Tamir\0.wav,15.947681984864175
training_set\Sheli\1.wav,class_reprentative\Tamir\1.wav,13.217289498075843
training_set\Sheli\1.wav,class_reprentative\Tamir\2.wav,21.64096469897777
training_set\Sheli\1.wav,class_reprentative\Tamir\3.wav,19.15724441409111
training_set\Sheli\1.wav,class_reprentative\Tamir\4.wav,12.830392950214446
training_set\Sheli\1.wav,class_reprentative\Tamir\5.wav,14.271669461391866
training_set\Sheli\1.wav,class_reprentative\Tamir\6.wav,24.225273585878313
training_set\Sheli\1.wav,class_reprentative\Tamir\7.wav,15.607518166303635
training_set\Sheli\1.wav,class_reprentative\Tamir\8.wav,15.92931847460568
training_set\Sheli\1.wav,class_reprentative\Tamir\9.wav,18.95151553954929
training_set\Sheli\2.wav,class_reprentative\Tamir\0.wav,26.72473771777004
training_set\Sheli\2.wav,class_reprentative\Tamir\1.wav,10.995642961934209
training_set\Sheli\2.wav,class_reprentative\Tamir\2.wav,4.08976730145514
training_set\Sheli\2.wav,class_reprentative\Tamir\3.wav,4.437091005034745
training_set\Sheli\2.wav,class_reprentative\Tamir\4.wav,14.418379050679505
training_set\Sheli\2.wav,class_reprentative\Tamir\5.wav,9.708473951555789
training_set\Sheli\2.wav,class_reprentative\Tamir\6.wav,7.77045635227114
training_set\Sheli\2.wav,class_reprentative\Tamir\7.wav,25.763559013605118
training_set\Sheli\2.wav,class_reprentative\Tamir\8.wav,5.102039184421301
training_set\Sheli\2.wav,class_reprentative\Tamir\9.wav,28.74639187566936
training_set\Sheli\3.wav,class_reprentative\Tamir\0.wav,17.72267214395106
training_set\Sheli\3.wav,class_reprentative\Tamir\1.wav,8.156567157246172
training_set\Sheli\3.wav,class_reprentative\Tamir\2.wav,6.80327736120671
training_set\Sheli\3.wav,class_reprentative\Tamir\3.wav,5.068814715370536
training_set\Sheli\3.wav,class_reprentative\Tamir\4.wav,8.231050196103752
training_set\Sheli\3.wav,class_reprentative\Tamir\5.wav,6.818537547253072
training_set\Sheli\3.wav,class_reprentative\Tamir\6.wav,10.29748977161944
training_set\Sheli\3.wav,class_reprentative\Tamir\7.wav,15.429178092628717
training_set\Sheli\3.wav,class_reprentative\Tamir\8.wav,5.548000881448388
training_set\Sheli\3.wav,class_reprentative\Tamir\9.wav,19.421775698661804
training_set\Sheli\4.wav,class_reprentative\Tamir\0.wav,16.125679729506373
training_set\Sheli\4.wav,class_reprentative\Tamir\1.wav,12.775711770169437
training_set\Sheli\4.wav,class_reprentative\Tamir\2.wav,24.680398531258106
