TrainingFile,DBFile,DTWDistance
training_set\Sheli\2.wav,class_reprentative\Tamir\6.wav,21.981239709460294
training_set\Sheli\2.wav,class_reprentative\Tamir\7.wav,27.24922049989701
training_set\Sheli\2.wav,class_reprentative\Tamir\8.wav,14.65017115939136
training_set\Sheli\2.wav,class_reprentative\Tamir\9.wav,35.734450534806626
training_set\Sheli\3.wav,class_reprentative\Tamir\0.wav,20.603528265164424
training_set\Sheli\3.wav,class_reprentative\Tamir\1.wav,16.53376734578036
training_set\Sheli\3.wav,class_reprentative\Tamir\2.wav,16.206587274492055
training_set\Sheli\3.wav,class_reprentative\Tamir\3.wav,12.756072909578599
training_set\Sheli\3.wav,class_reprentative\Tamir\4.wav,13.766212880219532
training_set\Sheli\3.wav,class_reprentative\Tamir\5.wav,15.398366292093858
training_set\Sheli\3.wav,class_reprentative\Tamir\6.wav,25.440056092331897
training_set\Sheli\3.wav,class_reprentative\Tamir\7.wav,18.774111198923215
training_set\Sheli\3.wav,class_reprentative\Tamir\8.wav,12.941059302626856
training_set\Sheli\3.wav,class_reprentative\Tamir\9.wav,30.555391570427425
training_set\Sheli\4.wav,class_reprentative\Tamir\0.wav,16.308147734033795
training_set\Sheli\4.wav,class_reprentative\Tamir\1.wav,11.670962191943508
training_set\Sheli\4.wav,class_reprentative\Tamir\2.wav,22.24561259266586
training_set\Sheli\4.wav,class_reprentative\Tamir\3.wav,17.466327028103912
training_set\Sheli\4.wav,class_reprentative\Tamir\4.wav,7.8758601962904695
training_set\Sheli\4.wav,class_reprentative\Tamir\5.wav,11.959538352856534
training_set\Sheli\4.wav,class_reprentative\Tamir\6.wav,28.34365800064326
training_set\Sheli\4.wav,class_reprentative\Tamir\7.wav,12.752935281134647
training_set\Sheli\4.wav,class_reprentative\Tamir\8.wav,11.30648453772823
training_set\Sheli\4.wav,class_reprentative\Tamir\9.wav,22.58241456597127
training_set\Sheli\5.wav,class_reprentative\Tamir\0.wav,23.79121683719664
training_set\Sheli\5.wav,class_reprentative\Tamir\1.wav,19.79532352840659
training_set\Sheli\5.wav,class_reprentative\Tamir\2.wav,30.75561398065964
training_set\Sheli\5.wav,class_reprentative\Tamir\3.wav,27.966185036620548
training_set\Sheli\5.wav,class_reprentative\Tamir\4.wav,13.342728883875024
training_set\Sheli\5.wav,class_reprentative\Tamir\5.wav,14.819382648993182
training_set\Sheli\5.wav,class_reprentative\Tamir\6.wav,32.64916758828868
training_set\Sheli\5.wav,class_reprentative\Tamir\7.wav,18.673565484216027
