TrainingFile,DBFile,DTWDistance
evaluation_set\Evgeny\1.wav,class_reprentative\Tamir\9.wav,10.752744392327845
evaluation_set\Evgeny\2.wav,class_reprentative\Tamir\0.wav,6.2287308161511605
evaluation_set\Evgeny\2.wav,class_reprentative\Tamir\1.wav,6.287620359907764
evaluation_set\Evgeny\2.wav,class_reprentative\Tamir\2.wav,11.695829915487872
evaluation_set\Evgeny\2.wav,class_reprentative\Tamir\3.wav,8.788751505374407
evaluation_set\Evgeny\2.wav,class_reprentative\Tamir\4.wav,3.5724224431586924
evaluation_set\Evgeny\2.wav,class_reprentative\Tamir\5.wav,6.040221140711159
evaluation_set\Evgeny\2.wav,class_reprentative\Tamir\6.wav,13.845254074140584
evaluation_set\Evgeny\2.wav,class_reprentative\Tamir\7.wav,6.086135289750095
evaluation_set\Evgeny\2.wav,class_reprentative\Tamir\8.wav,8.013352682696642
evaluation_set\Evgeny\2.wav,class_reprentative\Tamir\9.wav,7.220565830169806
evaluation_set\Evgeny\3.wav,class_reprentative\Tamir\0.wav,11.752931888539793
evaluation_set\Evgeny\3.wav,class_reprentative\Tamir\1.wav,15.11733670263138
evaluation_set\Evgeny\3.wav,class_reprentative\Tamir\2.wav,23.860416460062737
evaluation_set\Evgeny\3.wav,class_reprentative\Tamir\3.wav,21.440666511893646
evaluation_set\Evgeny\3.wav,class_reprentative\Tamir\4.wav,12.641327712810003
evaluation_set\Evgeny\3.wav,class_reprentative\Tamir\5.wav,15.430580685247735
evaluation_set\Evgeny\3.wav,class_reprentative\Tamir\6.wav,20.28206912265539
evaluation_set\Evgeny\3.wav,class_reprentative\Tamir\7.wav,12.743939817055026
evaluation_set\Evgeny\3.wav,class_reprentative\Tamir\8.wav,17.264430187208287
evaluation_set\Evgeny\3.wav,class_reprentative\Tamir\9.wav,12.569184287145493
evaluation_set\Evgeny\4.wav,class_reprentative\Tamir\0.wav,6.294205745611358
evaluation_set\Evgeny\4.wav,class_reprentative\Tamir\1.wav,4.992028801449004
